Bulan,Hari,Tanggal,Jenis Pengukuran,Test,Parameter,Telkomsel,IOH,XL Axiata,Longitude,Latitude,Kabupaten/Kota,Alamat,Keterangan
Maret,Rabu,3/26/2025,Static Test,Web Test,Throughput W (Mbps),0.98,0.08,0.36,122.453800,-4.445400,Konawe Selatan,Pelabuhan Torobulu,Posko Before Idul Fitri
Maret,Rabu,3/26/2025,Static Test,Video Test,Initial Buffering (ms),502,2794,0,122.453800,-4.445400,Konawe Selatan,Pelabuhan Torobulu,Posko Before Idul Fitri
Maret,Rabu,3/26/2025,Static Test,Video Test,Throughput V (Mbps),2.15,2.22,2.27,122.453800,-4.445400,Konawe Selatan,Pelabuhan Torobulu,Posko Before Idul Fitri
Maret,Kamis,3/27/2025,Static Test,Speed Test,DL (Mbps),0,0,0,122.851461,-4.419248,Konawe Selatan,Pelabuhan Amolengo,Posko Before Idul Fitri
Maret,Kamis,3/27/2025,Static Test,Speed Test,UL (Mbps),0,0,0,122.851461,-4.419248,Konawe Selatan,Pelabuhan Amolengo,Posko Before Idul Fitri
Maret,Kamis,3/27/2025,Static Test,Speed Test,Ping (ms),1.32,1.62,0,122.851461,-4.419248,Konawe Selatan,Pelabuhan Amolengo,Posko Before Idul Fitri
Maret,Kamis,3/27/2025,Static Test,Web Test,Loading time (ms),5.35,47.78,0,122.851461,-4.419248,Konawe Selatan,Pelabuhan Amolengo,Posko Before Idul Fitri
Maret,Kamis,3/27/2025,Static Test,Web Test,Throughput W (Mbps),0.72,0.84,0,122.851461,-4.419248,Konawe Selatan,Pelabuhan Amolengo,Posko Before Idul Fitri
Maret,Kamis,3/27/2025,Static Test,Video Test,Initial Buffering (ms),501,501,0,122.851461,-4.419248,Konawe Selatan,Pelabuhan Amolengo,Posko Before Idul Fitri
Maret,Kamis,3/27/2025,Static Test,Video Test,Throughput V (Mbps),2.15,2.1,0,122.851461,-4.419248,Konawe Selatan,Pelabuhan Amolengo,Posko Before Idul Fitri
Maret,Jumat,3/28/2025,Static Test,Speed Test,DL (Mbps),20.28,88.76,6.91,122.416926,-4.077047,Konawe Selatan,Bandara Haluoleo,Posko Before Idul Fitri
Maret,Jumat,3/28/2025,Static Test,Speed Test,UL (Mbps),13.46,9.13,6.19,122.416926,-4.077047,Konawe Selatan,Bandara Haluoleo,Posko Before Idul Fitri
Maret,Jumat,3/28/2025,Static Test,Speed Test,Ping (ms),1.32,1.62,174,122.416926,-4.077047,Konawe Selatan,Bandara Haluoleo,Posko Before Idul Fitri
Maret,Jumat,3/28/2025,Static Test,Web Test,Loading time (ms),3.12,2.05,448,122.416926,-4.077047,Konawe Selatan,Bandara Haluoleo,Posko Before Idul Fitri
Maret,Jumat,3/28/2025,Static Test,Web Test,Throughput W (Mbps),0.863,0.81,0.45,122.416926,-4.077047,Konawe Selatan,Bandara Haluoleo,Posko Before Idul Fitri
